famille;age;sexe;attribute_set
DORS-BIEN;BEBE;G;Vêtements
DORS-BIEN;BEBE;M;Vêtements
DORS-BIEN;DPAM;F;Vêtements
DORS-BIEN;DPAM;G;Vêtements
DORS-BIEN;DPAM;M;Vêtements
DOUDOU;BEBE;F;Jouets
DOUDOU;BEBE;G;Jouets
DOUDOU;BEBE;M;Jouets
DOUDOU;DPAM;F;Jouets
DOUDOU;DPAM;G;Jouets
DOUDOU;DPAM;M;Jouets
DOUDOUNE;BEBE;F;Vêtements
DOUDOUNE;BEBE;G;Vêtements
DOUDOUNE;BEBE;M;Vêtements
DOUDOUNE;DPAM;F;Vêtements
DOUDOUNE;DPAM;G;Vêtements
DOUDOUNE;DPAM;M;Vêtements
DRAP;BEBE;F;Textile
DRAP;BEBE;G;Textile
DRAP;BEBE;M;Textile
DRAP;DPAM;F;Textile
DRAP;DPAM;G;Textile
DRAP;DPAM;M;Textile
DRAP DE BAIN;BEBE;F;Textile
DRAP DE BAIN;BEBE;G;Textile
DRAP DE BAIN;BEBE;M;Textile
DRAP DE BAIN;DPAM;F;Textile
DRAP DE BAIN;DPAM;G;Textile
DRAP DE BAIN;DPAM;M;Textile
ECHARPE;BEBE;F;Vêtements
ECHARPE;BEBE;G;Vêtements
ECHARPE;BEBE;M;Vêtements
ECHARPE;DPAM;F;Vêtements
ECHARPE;DPAM;G;Vêtements
ECHARPE;DPAM;M;Vêtements
EDREDON;BEBE;F;Textile
EDREDON;BEBE;G;Textile
EDREDON;BEBE;M;Textile
EDREDON;DPAM;F;Textile
EDREDON;DPAM;G;Textile
EDREDON;DPAM;M;Textile
ENSEMBLE;BEBE;F;Vêtements
ENSEMBLE;BEBE;G;Vêtements
ENSEMBLE;BEBE;M;Vêtements
ENSEMBLE;DPAM;F;Vêtements
ENSEMBLE;DPAM;G;Vêtements
ENSEMBLE;DPAM;M;Vêtements
ENSEMBLE DE PLA;BEBE;F;Vêtements
ENSEMBLE DE PLA;BEBE;G;Vêtements
ENSEMBLE DE PLA;BEBE;M;Vêtements
